IdRumor;PlaceIdPlace;PlaceIdLGAGeo;PlaceState;PlaceStateShort;PlaceLGA;PlaceLGAShort;PlaceIdLGA;PlaceIdPlaceLGA;PlaceLon;PlaceLat;PlaceLocality;PlaceStreet;PlaceTypeOfPlace;PlacePlaceName;ROIdPerson;ROFam;ROFirstName;ROLastName;ROSex;ROOccupation;ROAge;ROBirthDate;ROMaritalState;ROPhone1;ROPhone1Type;ROPhone2;ROPhone2Type;ROEMail;ROIdPlace;ROIdLGAGeo;ROState;ROStateShort;ROLGA;ROLGAShort;ROIdLGA;ROIdPlaceLGA;ROLon;ROLat;ROLocality;ROStreet;ROTypeOfPlace;RumorRemark;IdPerson;Fam;FirstName;LastName;Sex;Occupation;Age;BirthDate;MaritalState;Phone1;Phone1Type;Phone2;Phone2Type;EMail;IdPlace;IdLGAGeo;State;StateShort;LGA;LGAShort;IdLGA;IdPlaceLGA;Lon;Lat;Locality;Street;TypeOfPlace;IdUser;Day;EventDate
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person seemed very sick.;149;297;Olafimihan;Awosola;male;soldier;43;1971-03-08;separated (not living common law);+234-805-5684038;mobile;;;olafimihan.awosola@snft.org;202;735;Kano;KN;Albasu;ABS;1;202;11.649006452914094;9.151055872818661;Daho;Igunsi Lane;Home;SUO-OY-SHK-1;39;2015-07-09
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person was standing nearby.;4254;393;Nifemi;Afikuyomi;male;dish washer;28;1986-09-06;married (and not separated);0805-6519155;mobile;;;nifemi.afikuyomi@sormas-n.ng;6040;491;Oyo;OY;Saki West;SHK;16;40;8.515524049427494;3.106206732541364;Muwa;Chief Dr.Ofili Ugwudioha Street;Home;SUO-OY-SHK-1;39;2015-07-09
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person was standing nearby.;4280;83;Adejoke;Ogundana;female;confectioner (pastry and cake maker);34;1981-04-05;single (not living common law);+234-807-5553998;mobile;;;adejoke.ogundana@sormas.ng;6329;491;Oyo;OY;Saki West;SHK;16;329;8.590754426028873;3.2569699282101006;Ifelodun;Mbanugo Street;Home;SUO-OY-SHK-1;39;2015-07-09
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person was standing nearby.;4471;521;Osaruese;Dikeh;male;trainee;15;2000-02-19;single (not living common law);0806-2888058;mobile;0813-1891911;mobile;osaruese.dikeh@ebokon.net;6352;491;Oyo;OY;Saki West;SHK;16;352;8.522281735588914;2.9830409817161208;Ladele;Nonso Mba Street;Home;SUO-OY-SHK-1;39;2015-07-09
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person was standing nearby.;4472;216;Ofey;Shakpoke;female;electrician;54;1960-09-12;separated (not living common law);+234-818-5017199;mobile;;;ofey.shakpoke@ebokon.com;6186;491;Oyo;OY;Saki West;SHK;16;186;8.468863843620142;3.1485883667555057;Idi Apa;Niwil Close;Home;SUO-OY-SHK-1;39;2015-07-09
02040018;363;735;Kano;KN;Albasu;ABS;1;363;11.688420127251458;9.006856223839254;Unguwar Kuka;Igwe Harford  Agana Street;Home;;100;345;Omotese;Ogugua;female;police investigator (detective);53;1962-11-04;living common law;+234-64-7429600;landline;;;omotese.ogugua@sormas-n.org;140;735;Kano;KN;Albasu;ABS;1;140;11.652930220389212;9.107137953562976;Bataiya;Cooperation Road;Home;This person seemed very sick.;204;634;Akinola;Dilomprizulike;male;scene painter;27;1987-11-08;separated (not living common law);0801-2999305;mobile;0708-2985636;mobile;a.dilomprizulike@snft.ng;281;735;Kano;KN;Albasu;ABS;1;281;11.642645931260212;8.947526511353761;Tsangaya;Godwin Ekuma Street;Home;SUO-KN-ABS-1;19;2015-06-19
02040018;363;735;Kano;KN;Albasu;ABS;1;363;11.688420127251458;9.006856223839254;Unguwar Kuka;Igwe Harford  Agana Street;Home;;100;345;Omotese;Ogugua;female;police investigator (detective);53;1962-11-04;living common law;+234-64-7429600;landline;;;omotese.ogugua@sormas-n.org;140;735;Kano;KN;Albasu;ABS;1;140;11.652930220389212;9.107137953562976;Bataiya;Cooperation Road;Home;This person was standing nearby.;98;312;Efuose;Omoko;female;fire officer;27;1988-01-24;single (not living common law);+234-64-563535;landline;;;efuose.omoko@snft.org;102;735;Kano;KN;Albasu;ABS;1;102;11.64222727801394;8.941244950539758;Darki;Ijoma Place;Home;SUO-KN-ABS-1;19;2015-06-19
02040018;363;735;Kano;KN;Albasu;ABS;1;363;11.688420127251458;9.006856223839254;Unguwar Kuka;Igwe Harford  Agana Street;Home;;100;345;Omotese;Ogugua;female;police investigator (detective);53;1962-11-04;living common law;+234-64-7429600;landline;;;omotese.ogugua@sormas-n.org;140;735;Kano;KN;Albasu;ABS;1;140;11.652930220389212;9.107137953562976;Bataiya;Cooperation Road;Home;This person was standing nearby.;120;750;Arome;Obasi;male;construction or building site manager (site manager);46;1968-02-08;separated (not living common law);0813-4586784;mobile;;;a.obasi@sormas.ng;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;SUO-KN-ABS-1;19;2015-06-19
02040018;363;735;Kano;KN;Albasu;ABS;1;363;11.688420127251458;9.006856223839254;Unguwar Kuka;Igwe Harford  Agana Street;Home;;100;345;Omotese;Ogugua;female;police investigator (detective);53;1962-11-04;living common law;+234-64-7429600;landline;;;omotese.ogugua@sormas-n.org;140;735;Kano;KN;Albasu;ABS;1;140;11.652930220389212;9.107137953562976;Bataiya;Cooperation Road;Home;This person was standing nearby.;169;445;Arome;Ogungbe;male;burial service;50;1964-11-06;widowed (not living common law);0708-4998801;mobile;0809-4007366;mobile;arome.ogungbe@snft.edu;86;735;Kano;KN;Albasu;ABS;1;86;11.61638211136801;9.037120310144337;Unguwar Kuka;Agbonlahor Str;Home;SUO-KN-ABS-1;19;2015-06-19
02040018;363;735;Kano;KN;Albasu;ABS;1;363;11.688420127251458;9.006856223839254;Unguwar Kuka;Igwe Harford  Agana Street;Home;;100;345;Omotese;Ogugua;female;police investigator (detective);53;1962-11-04;living common law;+234-64-7429600;landline;;;omotese.ogugua@sormas-n.org;140;735;Kano;KN;Albasu;ABS;1;140;11.652930220389212;9.107137953562976;Bataiya;Cooperation Road;Home;This person was standing nearby.;237;268;Ciara;Alozie;female;teacher;50;1965-03-29;married (and not separated);0806-5513927;mobile;;;c.alozie@sormas-n.com;75;735;Kano;KN;Albasu;ABS;1;75;11.663323862774437;9.088180017886152;Hausawa Magaji Gari Mai Unguwa;Chinagorom Odo Avenue;Home;SUO-KN-ABS-1;19;2015-06-19
02600055;123;735;Kano;KN;Albasu;ABS;1;123;11.727686046306141;9.021584175871318;Sarina;Chuks Akpor Close;Hospital;Jigar Health Post;134;561;Chinue;Uloko;female;physician;46;1968-12-09;single (not living common law);+234-64-7801980;landline;064-9926445;landline;chinue.uloko@ebokon.edu;146;735;Kano;KN;Albasu;ABS;1;146;11.717883519515574;9.008918385344396;Sakwaya;Doctor Akin Ogunlewe Street;Home;This person seemed very sick.;260;117;Oyindamola;Ikimi;female;sales manager;54;1960-09-18;separated (not living common law);+234-64-2236538;landline;+234-818-3382686;mobile;o.ikimi@sormas-n.ng;320;735;Kano;KN;Albasu;ABS;1;320;11.699738843730122;9.038106983910492;Acika;Oluwasijibomi Street;Home;RUO-KN-ZZZ-1;45;2015-07-15
02600055;123;735;Kano;KN;Albasu;ABS;1;123;11.727686046306141;9.021584175871318;Sarina;Chuks Akpor Close;Hospital;Jigar Health Post;134;561;Chinue;Uloko;female;physician;46;1968-12-09;single (not living common law);+234-64-7801980;landline;064-9926445;landline;chinue.uloko@ebokon.edu;146;735;Kano;KN;Albasu;ABS;1;146;11.717883519515574;9.008918385344396;Sakwaya;Doctor Akin Ogunlewe Street;Home;This person was standing nearby.;195;359;Ekanem;Adeleke;male;biologist;31;1984-06-05;married (and not separated);+234-801-6361606;mobile;;;e.adeleke@sormas.ng;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;RUO-KN-ZZZ-1;45;2015-07-15
02600055;123;735;Kano;KN;Albasu;ABS;1;123;11.727686046306141;9.021584175871318;Sarina;Chuks Akpor Close;Hospital;Jigar Health Post;134;561;Chinue;Uloko;female;physician;46;1968-12-09;single (not living common law);+234-64-7801980;landline;064-9926445;landline;chinue.uloko@ebokon.edu;146;735;Kano;KN;Albasu;ABS;1;146;11.717883519515574;9.008918385344396;Sakwaya;Doctor Akin Ogunlewe Street;Home;This person was standing nearby.;233;354;Aniyemawen;Bozimo;female;flying instructor;28;1986-12-24;living common law;+234-64-7469163;landline;;;aniyemawen.bozimo@sormas-n.org;319;735;Kano;KN;Albasu;ABS;1;319;11.651560306130701;9.00058683291897;Daho;Moore House Street;Home;RUO-KN-ZZZ-1;45;2015-07-15
02860031;552;296;Kano;KN;Dawakin Tofa;DTF;2;152;12.1110952918098;8.416243924630868;Dan Dalama;Commisioner Street;Hospital;Jaube Health Post;557;448;Chinenye;Inyam;female;window cleaner;63;1951-12-21;married (and not separated);+234-64-2227738;landline;0809-1519218;mobile;chinenye.inyam@ebokon.ng;772;296;Kano;KN;Dawakin Tofa;DTF;2;372;12.112797417085904;8.458031603931227;Domargu;Chief Edward Nnaji Close;Home;This person has touched the sick one.;165;5;Mosaku;Arinze;male;shoemaker (cobbler);18;1996-06-17;living common law;0809-4341878;mobile;+234-64-4555226;landline;mosaku.arinze@ebokon.ng;225;735;Kano;KN;Albasu;ABS;1;225;11.615144549665194;9.17787091797435;Sakwaya;Ibeju Lekki Road;Home;RUO-KN-ZZZ-1;29;2015-06-29
02860031;552;296;Kano;KN;Dawakin Tofa;DTF;2;152;12.1110952918098;8.416243924630868;Dan Dalama;Commisioner Street;Hospital;Jaube Health Post;557;448;Chinenye;Inyam;female;window cleaner;63;1951-12-21;married (and not separated);+234-64-2227738;landline;0809-1519218;mobile;chinenye.inyam@ebokon.ng;772;296;Kano;KN;Dawakin Tofa;DTF;2;372;12.112797417085904;8.458031603931227;Domargu;Chief Edward Nnaji Close;Home;This person seemed very sick.;286;408;Olufunso Adesina Erinle;Emedolu;male;school pupil;12;2003-03-31;single (not living common law);+234-64-5904243;landline;+234-64-8509710;landline;olufunso adesina erinle.emedolu@snft.ng;337;735;Kano;KN;Albasu;ABS;1;337;11.673378525699054;9.002286574072972;Hausawa Dumo;Hawkins Andrews Close;Home;RUO-KN-ZZZ-1;29;2015-06-29
02860031;552;296;Kano;KN;Dawakin Tofa;DTF;2;152;12.1110952918098;8.416243924630868;Dan Dalama;Commisioner Street;Hospital;Jaube Health Post;557;448;Chinenye;Inyam;female;window cleaner;63;1951-12-21;married (and not separated);+234-64-2227738;landline;0809-1519218;mobile;chinenye.inyam@ebokon.ng;772;296;Kano;KN;Dawakin Tofa;DTF;2;372;12.112797417085904;8.458031603931227;Domargu;Chief Edward Nnaji Close;Home;This person was standing nearby.;296;3;Chizoba;Egerega;female;printing machine mechanic;50;1964-08-30;married (and not separated);+234-803-5315741;mobile;;;c.egerega@snft.org;408;296;Kano;KN;Dawakin Tofa;DTF;2;8;12.082616525213641;8.384593531809006;Nasarawa;Oduduwa Cresent;Home;RUO-KN-ZZZ-1;29;2015-06-29
02860031;552;296;Kano;KN;Dawakin Tofa;DTF;2;152;12.1110952918098;8.416243924630868;Dan Dalama;Commisioner Street;Hospital;Jaube Health Post;557;448;Chinenye;Inyam;female;window cleaner;63;1951-12-21;married (and not separated);+234-64-2227738;landline;0809-1519218;mobile;chinenye.inyam@ebokon.ng;772;296;Kano;KN;Dawakin Tofa;DTF;2;372;12.112797417085904;8.458031603931227;Domargu;Chief Edward Nnaji Close;Home;This person was standing nearby.;330;800;Inyene Attah;Olowola;male;police officer;38;1977-04-14;married (and not separated);0803-4381622;mobile;0705-7591399;mobile;i.olowola@ebokon.ng;760;296;Kano;KN;Dawakin Tofa;DTF;2;360;12.050469013073933;8.389178592821978;Dan Dalama;Nsude Aniagu Street;Home;RUO-KN-ZZZ-1;29;2015-06-29
02860031;552;296;Kano;KN;Dawakin Tofa;DTF;2;152;12.1110952918098;8.416243924630868;Dan Dalama;Commisioner Street;Hospital;Jaube Health Post;557;448;Chinenye;Inyam;female;window cleaner;63;1951-12-21;married (and not separated);+234-64-2227738;landline;0809-1519218;mobile;chinenye.inyam@ebokon.ng;772;296;Kano;KN;Dawakin Tofa;DTF;2;372;12.112797417085904;8.458031603931227;Domargu;Chief Edward Nnaji Close;Home;This person was standing nearby.;476;390;Temilore;Egwuekwe;female;usher or usherette;37;1977-05-11;single (not living common law);+234-64-2980509;landline;;;temilore.egwuekwe@snft.org;757;296;Kano;KN;Dawakin Tofa;DTF;2;357;12.144528951676953;8.467766154177262;Dawanau;Lucinda Johnson Street;Home;RUO-KN-ZZZ-1;29;2015-06-29
02910019;400;735;Kano;KN;Albasu;ABS;1;400;11.66057798028405;8.96558420598107;Sakwaya;Agodo Street;Hospital;Rubun Health Post;191;149;Oni;Nguirmamaramama;female;physician;53;1961-08-30;married (and not separated);064-5852008;landline;;;oni.nguirmamaramama@sormas-n.net;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;This person seemed very sick.;291;125;Omuwonuola;Rasaki;female;museum or art gallery curator;27;1987-09-09;single (not living common law);+234-809-3100625;mobile;+234-703-4387162;mobile;o.rasaki@sormas.ng;717;296;Kano;KN;Dawakin Tofa;DTF;2;317;12.077232950307376;8.388232438385495;Sabon Birni;Bernard Anike Road;Home;SUO-KN-ABS-1;19;2015-06-19
02910019;400;735;Kano;KN;Albasu;ABS;1;400;11.66057798028405;8.96558420598107;Sakwaya;Agodo Street;Hospital;Rubun Health Post;191;149;Oni;Nguirmamaramama;female;physician;53;1961-08-30;married (and not separated);064-5852008;landline;;;oni.nguirmamaramama@sormas-n.net;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;This person was standing nearby.;46;121;Olasubomi;Olomu;female;referee (umpire);51;1963-06-24;married (and not separated);+234-802-7984625;mobile;;;o.olomu@sormas-n.edu;72;735;Kano;KN;Albasu;ABS;1;72;11.645174042085092;9.171896122686544;Fanda;Old Refinery Road;Home;SUO-KN-ABS-1;19;2015-06-19
02910019;400;735;Kano;KN;Albasu;ABS;1;400;11.66057798028405;8.96558420598107;Sakwaya;Agodo Street;Hospital;Rubun Health Post;191;149;Oni;Nguirmamaramama;female;physician;53;1961-08-30;married (and not separated);064-5852008;landline;;;oni.nguirmamaramama@sormas-n.net;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;This person was standing nearby.;140;647;Yakubu;Nworuh;male;hydrologist;60;1955-09-03;living common law;0806-1189003;mobile;;;yakubu.nworuh@ebokon.org;72;735;Kano;KN;Albasu;ABS;1;72;11.645174042085092;9.171896122686544;Fanda;Old Refinery Road;Home;SUO-KN-ABS-1;19;2015-06-19
02910019;400;735;Kano;KN;Albasu;ABS;1;400;11.66057798028405;8.96558420598107;Sakwaya;Agodo Street;Hospital;Rubun Health Post;191;149;Oni;Nguirmamaramama;female;physician;53;1961-08-30;married (and not separated);064-5852008;landline;;;oni.nguirmamaramama@sormas-n.net;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;This person was standing nearby.;162;521;Obehi;Dikeh;male;air traffic controller;28;1987-04-05;living common law;+234-809-9099312;mobile;;;obehi.dikeh@sormas-n.org;153;735;Kano;KN;Albasu;ABS;1;153;11.675188840496862;9.073447687628986;Ruru;A.J. Marinho Drive;Home;SUO-KN-ABS-1;19;2015-06-19
02910019;400;735;Kano;KN;Albasu;ABS;1;400;11.66057798028405;8.96558420598107;Sakwaya;Agodo Street;Hospital;Rubun Health Post;191;149;Oni;Nguirmamaramama;female;physician;53;1961-08-30;married (and not separated);064-5852008;landline;;;oni.nguirmamaramama@sormas-n.net;268;735;Kano;KN;Albasu;ABS;1;268;11.660024808453935;9.188158356145303;Darki;Imina close;Home;This person was standing nearby.;219;332;Osarenren ;Oliha;male;textiles dyer ;51;1963-09-27;single (not living common law);0801-5755700;mobile;;;o.oliha@ebokon.ng;366;735;Kano;KN;Albasu;ABS;1;366;11.661059685180284;9.04278108683891;Daho;Spatal Lane;Home;SUO-KN-ABS-1;19;2015-06-19
03480055;718;296;Kano;KN;Dawakin Tofa;DTF;2;318;12.15851850535735;8.438628967023782;Bichi;Aragua Street;Hospital;Kwami Health Post;329;637;Ayeola;Akwashiki;female;fish warden (water keeper or bailiff);45;1970-02-19;living common law;064-6784941;landline;+234-813-5373648;mobile;ayeola.akwashiki@sormas.ng;454;296;Kano;KN;Dawakin Tofa;DTF;2;54;12.112493509475023;8.349439356841195;Tsarkakiya;Osunde street;Home;This person has touched the sick one.;285;362;Anika;Elegbede;female;floor fitter (floor layer);23;1991-01-08;single (not living common law);+234-64-1815643;landline;;;anika.elegbede@ebokon.ng;59;735;Kano;KN;Albasu;ABS;1;59;11.675516967572914;9.178155302049328;Fanda;Veronica Oba Drive;Home;SUO-KN-DTF-1;45;2015-07-15
03480055;718;296;Kano;KN;Dawakin Tofa;DTF;2;318;12.15851850535735;8.438628967023782;Bichi;Aragua Street;Hospital;Kwami Health Post;329;637;Ayeola;Akwashiki;female;fish warden (water keeper or bailiff);45;1970-02-19;living common law;064-6784941;landline;+234-813-5373648;mobile;ayeola.akwashiki@sormas.ng;454;296;Kano;KN;Dawakin Tofa;DTF;2;54;12.112493509475023;8.349439356841195;Tsarkakiya;Osunde street;Home;This person has touched the sick one.;467;240;Gberbo;Kerry;female;nurse;27;1988-04-30;separated (not living common law);0806-8741122;mobile;0706-7374882;mobile;g.kerry@sormas.ng;637;296;Kano;KN;Dawakin Tofa;DTF;2;237;12.098231073101214;8.394933932012895;Nasarawa;Oduduwa Cresent;Home;SUO-KN-DTF-1;45;2015-07-15
